peak_index,mz,mass_resolution,snr,intensity,base_peak_ratio,fwhm
615,415.0712,13329,13,135,0.1,0.0311
616,415.1311,11988,17.5,181,0.1,0.0346
617,415.1627,14472,16,166,0.1,0.0287
618,416.1115,20143,26.9,280,0.2,0.0207
619,416.1427,11712,15,156,0.1,0.0355
620,417.0811,13039,13.5,141,0.1,0.032
621,417.1208,14879,26.8,280,0.2,0.028
622,417.1423,15110,29.7,310,0.3,0.0276
623,417.1845,11165,23.3,244,0.2,0.0374
624,417.2146,15910,21.4,224,0.2,0.0262
625,418.1246,11581,15.4,162,0.1,0.0361
626,418.1502,10256,16.5,173,0.1,0.0408
627,418.1877,11010,15.1,158,0.1,0.038
628,418.2229,12347,12,126,0.1,0.0339
629,418.982,25998,13.4,140,0.1,0.0161
630,419.137,22019,62.7,658,0.5,0.019
631,419.1562,19739,43.5,457,0.4,0.0212
632,419.2206,13796,15.4,161,0.1,0.0304
633,419.2559,28345,50.5,530,0.4,0.0148
634,419.9364,29830,124.9,1314,1.1,0.0141
635,420.1413,13755,24.5,258,0.2,0.0305
636,420.165,12978,20.1,212,0.2,0.0324
637,420.1989,11533,13.5,142,0.1,0.0364
638,420.25,12983,14.5,153,0.1,0.0324
639,421.0154,18656,11.7,124,0.1,0.0226
640,421.1082,16269,21.7,229,0.2,0.0259
641,421.16,12961,25,264,0.2,0.0325
642,421.2329,12556,15.5,164,0.1,0.0335
643,422.1184,6777,11.7,124,0.1,0.0623
644,422.1608,14652,16.3,173,0.1,0.0288
645,422.1851,13507,18.5,197,0.2,0.0313
646,422.2235,14374,12.8,136,0.1,0.0294
647,422.2592,23748,16.4,174,0.1,0.0178
648,423.1189,23248,52.6,559,0.5,0.0182
649,423.1518,16239,17.6,187,0.2,0.0261
650,423.1701,21652,16.4,175,0.1,0.0195
651,423.1898,32480,16.6,176,0.1,0.013
652,423.2059,16451,20.3,215,0.2,0.0257
653,423.2508,25875,52.9,563,0.5,0.0164
654,424.1215,13954,23.2,247,0.2,0.0304
655,424.1622,14696,13.6,145,0.1,0.0289
656,424.2029,14617,19.3,205,0.2,0.029
657,424.2524,17186,15.5,165,0.1,0.0247
658,424.2745,22444,13.4,143,0.1,0.0189
659,425.1176,11100,18.9,202,0.2,0.0383
660,425.1529,14858,16.8,179,0.1,0.0286
661,425.1684,18378,17.6,188,0.2,0.0231
662,425.186,12232,18,192,0.2,0.0348
663,425.2216,17655,17.1,182,0.1,0.0241
664,425.2566,21172,12.5,134,0.1,0.0201
665,426.1012,10449,11.9,127,0.1,0.0408
666,426.1465,9312,12.1,129,0.1,0.0458
667,426.1823,9639,11.7,126,0.1,0.0442
668,426.2192,15033,14.1,151,0.1,0.0284
669,427.0875,18365,23.4,251,0.2,0.0233
670,427.1304,10327,13.4,144,0.1,0.0414
671,427.1646,11866,14.1,151,0.1,0.036
672,427.2018,9860,11.7,125,0.1,0.0433
673,428.0727,17543,16.2,174,0.1,0.0244
674,428.902,29973,51.5,551,0.5,0.0143
675,429.0852,15088,22.9,245,0.2,0.0284
676,429.1452,12107,14.5,156,0.1,0.0354
677,429.1782,12960,13,139,0.1,0.0331
678,430.0872,25059,34.6,370,0.3,0.0172
679,430.8998,28378,20.3,217,0.2,0.0152
680,431.0992,18123,40.1,430,0.4,0.0238
681,431.1586,13114,15.9,171,0.1,0.0329
682,432.1049,13858,15.7,169,0.1,0.0312
683,432.1695,13698,13.7,147,0.1,0.0316
684,433.1185,10953,13.7,148,0.1,0.0395
685,433.1388,14189,16.9,182,0.1,0.0305
686,433.1687,10690,20.4,220,0.2,0.0405
687,433.2123,16431,13.6,147,0.1,0.0264
688,433.2372,23120,26.5,286,0.2,0.0187
689,433.2714,28389,34.3,370,0.3,0.0153
690,434.1228,13161,12.9,139,0.1,0.033
691,434.1455,13159,12.2,132,0.1,0.033
692,434.1843,10890,15.6,169,0.1,0.0399
693,434.2214,12895,11.7,127,0.1,0.0337
694,435.0912,10634,12.5,135,0.1,0.0409
695,435.1334,8519,16.7,181,0.1,0.0511
696,435.171,21995,14.3,155,0.1,0.0198
697,435.196,9404,15.1,164,0.1,0.0463
698,435.2489,15185,12.2,132,0.1,0.0287
699,436.1374,11990,13.1,142,0.1,0.0364
700,436.1599,11990,12.9,140,0.1,0.0364
701,436.202,20125,21.9,237,0.2,0.0217
702,436.2393,17723,12.1,131,0.1,0.0246
703,436.9927,28459,22.5,244,0.2,0.0154
704,437.111,11759,16,174,0.1,0.0372
705,437.1387,24235,55.7,604,0.5,0.018
706,437.1667,14672,17.7,192,0.2,0.0298
707,437.1992,33012,13.8,150,0.1,0.0132
708,437.2272,17291,21.6,234,0.2,0.0253
709,437.2659,21676,20.7,224,0.2,0.0202
710,438.1091,16085,24.4,265,0.2,0.0272
711,438.1419,12462,22.3,242,0.2,0.0352
712,438.177,10304,14.3,155,0.1,0.0425
713,438.2185,19325,22.5,244,0.2,0.0227
714,438.2929,21545,13.9,151,0.1,0.0203
715,439.0749,21641,21.4,232,0.2,0.0203
716,439.0971,21349,38.6,419,0.3,0.0206
717,439.1265,12926,34.4,374,0.3,0.034
718,439.1664,15051,19.1,207,0.2,0.0292
719,439.184,14705,18.3,199,0.2,0.0299
720,439.2382,19361,24,261,0.2,0.0227
721,440.103,12944,18.7,203,0.2,0.034
722,440.1286,10550,17,185,0.2,0.0417
723,440.1627,15002,13.8,150,0.1,0.0293
724,440.1924,8843,13.8,150,0.1,0.0498
725,440.2353,19835,20.9,227,0.2,0.0222
726,441.1273,13264,18.5,202,0.2,0.0333
727,441.1813,10477,13.3,144,0.1,0.0421
728,441.2192,16491,19.1,207,0.2,0.0268
729,441.2515,16743,15.6,170,0.1,0.0264
730,442.1311,12072,12,131,0.1,0.0366
731,442.1508,14755,11.4,124,0.1,0.03
732,442.176,12423,11.9,130,0.1,0.0356
733,443.1021,13729,14.1,154,0.1,0.0323
734,443.138,14772,14.1,155,0.1,0.03
735,443.1598,15308,15.8,173,0.1,0.0289
736,443.1956,11483,13.5,148,0.1,0.0386
737,444.1029,12879,15.6,171,0.1,0.0345
738,445.1037,15054,15.1,167,0.1,0.0296
739,445.1413,16656,11.7,129,0.1,0.0267
